"DEPT_KEY","DEPT_NM","SPECIALTY","DEPT_ABBR","DEPT_GRP","DEPT_CNTR","REV_LOC_KEY"
"1","Operating Room",NA,"OR",NA,NA,NA
"8745","WST INTENSIVE CASE MGT",NA,"WIC",NA,NA,NA
"8760","VNJ FAMILY INTERV PROG",NA,"VFI",NA,NA,NA
"33112","PENN STATE HEALTH","NEUROLOGY","PSH",NA,NA,"1211"
"4943","7 WEST","GENERAL PEDIATRICS","7WS",NA,NA,"674"
"4731","CSH BH REHABILITATION","BEHAVIORAL HEALTH SERVICES","BRHB",NA,"CHILDREN SEASHORE HOUSE CENTER","682"
"4918","ED EXTENDED CARE UN*","EMERGENCY","EDEC",NA,NA,"681"
"4871","CARDIOVASCULAR RADIOLOGY","CARDIOVASCULAR RADIOLOGY","CVR",NA,NA,"649"
"5259","EXT BH UROLOGY","BEHAVIORAL HEALTH SERVICES","BXUR",NA,"EXTON SPECIALTY CARE CENTER","682"
"22718","BWV GASTROENTEROLOGY","GASTROENTEROLOGY","BWGI",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","688"
"6016","CC CHILD DEV","DEVELOPMENTAL PEDIATRICS","CCCD",NA,"CARE NETWORK COBBS CREEK","688"
"19712","HB MAIN IMGC",NA,NA,NA,NA,"-1"
"16911","PB ATLCARE CARD AC   ","CARDIOLOGY","AC CARD",NA,NA,"685"
"5292","MKT 3550 BH ADHD","BEHAVIORAL HEALTH SERVICES","MBA",NA,"MARKET STREET 3550","682"
"4903","VNJ AUDIOLOGY","AUDIOLOGY","VAU",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","681"
"23012","P. CAMODY JOHNSTON","GENERAL PEDIATRICS","PCJ",NA,NA,"1211"
"4932","EXT DERMATOLOGY","DERMATOLOGY","XDER",NA,"EXTON SPECIALTY CARE CENTER","688"
"28811","NEUROLOGY LEHIGH VLY","NEUROLOGY","PNLV",NA,NA,"1211"
"5383","WOOD MEG RADIOLOGY","RADIOLOGY","WMR",NA,"RICHARD D WOOD CENTER","681"
"4957","VNJ PLASTIC SURGERY","PLASTIC SURGERY","VPLS",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","676"
"5357","PB MAIN NUCMD RADIOLGY","NUCLEAR MEDICINE","MAINNUCMD*",NA,NA,"689"
"5004","KOP SMC PLASTIC SURGRY","PLASTIC SURGERY","MPL",NA,"KING OF PRUSSIA SPORTS MEDICINE CENTER","678"
"4693","URODYNAMICS LAB","UROLOGY","UROD",NA,NA,"649"
"7215","INP NEPHROLOGY","NEPHROLOGY","INP Nephrolo",NA,NA,"681"
"24411","FP&CN THE HEALTH ANNEX","GENERAL PEDIATRICS","FPCNTHA",NA,NA,"1211"
"9411","BUC ANESTHESIA RESOURCE CTR","GENERAL ANESTHESIA","BARC",NA,"BUCKS COUNTY SPECIALTY CARE CENTER","681"
"22717","BWV NEUROLOGY","NEUROLOGY","BWNEU",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","688"
"28711","BCC PULMONARY","PULMONARY","BCPL",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","688"
"5058","CHOP FAMILY BASED PROGRAM","PSYCHIATRY","FBP",NA,NA,"660"
"8755","EMPLOYEE HEALTH",NA,"EMP",NA,NA,NA
"8750","WST RESOURCE CASE MGT",NA,"WRC",NA,NA,NA
"32112","BCC ENDOCRINOLOGY","ENDOCRINOLOGY","BCCEN",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","688"
"4719","KOP BH ADHD","BEHAVIORAL HEALTH SERVICES","ADKP",NA,"KING OF PRUSSIA SCC","682"
"4690","MAIN CARDIAC ECHO","CARDIOLOGY","ECH",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"5109","BUC-OP FEEDING","CHILD DEVELOPMENT","IFE",NA,NA,"629"
"5154","KOP-OP C2M2","CHILD DEVELOPMENT","LCM",NA,NA,"628"
"22732","BWV DERMATOLOGY","DERMATOLOGY","BWDER",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","688"
"31412","CHESTER COUNTY PEDS","GENERAL PEDIATRICS","CCPPC",NA,NA,"1211"
"7217","INP MED/SURG/NEONAT",NA,"INP_MED/NEON",NA,NA,"681"
"19611","FIRST STATE PEDIATRICS","GENERAL PEDIATRICS","FSP",NA,NA,"1211"
"5155","PSYCHIATRY",NA,"DMS",NA,NA,"-1"
"4651","ROXBOROUGH CARE NTWK","GENERAL PEDIATRICS","KRO",NA,"CARE NETWORK ROXBOROUGH","683"
"5435","VNJ LABORATORY","CLINICAL LABORATORY","VLAB",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","681"
"5459","VNJ BH FEEDING","BEHAVIORAL HEALTH SERVICES","VBF",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","682"
