"ICD9_CD","DX_NM","DX_KEY","DX_STAT","DX_ID"
"599.0","Urinary tract infection, site not specified",993808,"NOT APPLIC",6243
NA,"Urinary tract infection, site not specified",993808,"NOT APPLIC",6243
NA,"Puncture wound of hand",1033282,"NOT APPLIC",136886
"882.0","Puncture wound of hand",1033282,"NOT APPLIC",136886
"259.1","Precocious puberty",1068323,"NOT APPLIC",54354
NA,"Precocious puberty",1068323,"NOT APPLIC",54354
NA,"S/P tympanostomy tube placement",1204565,"NOT APPLIC",212191
"729.5","Right leg pain",1165524,"NOT APPLIC",166740
NA,"Right leg pain",1165524,"NOT APPLIC",166740
"V45.89","S/P tympanostomy tube placement",1204565,"NOT APPLIC",212191
"307.7","Encopresis(307.7)",995041,"NOT APPLIC",3252
"493.92","Severe persistent asthma with acute exacerbation",1273085,"NOT APPLIC",277391
NA,"Severe persistent asthma with acute exacerbation",1273085,"NOT APPLIC",277391
"362.29","Other nondiabetic proliferative retinopathy",1002843,"NOT APPLIC",3783
NA,"Chronic tonsillitis",996163,"NOT APPLIC",15111
NA,"Other nondiabetic proliferative retinopathy",1002843,"NOT APPLIC",3783
"474.00","Chronic tonsillitis",996163,"NOT APPLIC",15111
NA,"Abnormal liver enzymes",1250087,"NOT APPLIC",253925
"790.5","Abnormal liver enzymes",1250087,"NOT APPLIC",253925
NA,"Unspecified deficiency anemia",991135,"NOT APPLIC",2717
"784.7","Epistaxis",999895,"NOT APPLIC",9787
"281.9","Unspecified deficiency anemia",991135,"NOT APPLIC",2717
"757.39","Other specified congenital anomaly of skin",1003415,"NOT APPLIC",9437
NA,"Epistaxis",999895,"NOT APPLIC",9787
NA,"Other specified congenital anomaly of skin",1003415,"NOT APPLIC",9437
"374.82","Edema of eyelid",991815,"NOT APPLIC",4347
NA,"Edema of eyelid",991815,"NOT APPLIC",4347
NA,"Primary ciliary dyskinesia",1055171,"NOT APPLIC",20406
"518.89","Primary ciliary dyskinesia",1055171,"NOT APPLIC",20406
NA,"Injury, other and unspecified, finger",1003205,"NOT APPLIC",12491
"959.5","Injury, other and unspecified, finger",1003205,"NOT APPLIC",12491
NA,"Birthmark of skin",1121294,"NOT APPLIC",21415
"757.32","Birthmark of skin",1121294,"NOT APPLIC",21415
"490","Bronchitis in pediatric patient",1416858,"NOT APPLIC",426562
NA,"Bronchitis in pediatric patient",1416858,"NOT APPLIC",426562
"380.4","Cerumen impaction, bilateral",1868417,"DELETED",866956
NA,"Cerumen impaction, bilateral",1868417,"DELETED",866956
NA,"Acute graft-versus-host disease",1004584,"NOT APPLIC",15554
"279.51","Acute graft-versus-host disease",1004584,"NOT APPLIC",15554
"742.3","Congenital hydrocephalus",1001291,"NOT APPLIC",9030
NA,"Congenital hydrocephalus",1001291,"NOT APPLIC",9030
NA,"Cerumen impaction, right",1715460,"DELETED",734698
"380.4","Cerumen impaction, right",1715460,"DELETED",734698
"758.0","Trisomy 21 syndrome",1165295,"NOT APPLIC",161760
NA,"Trisomy 21 syndrome",1165295,"NOT APPLIC",161760
"V15.89","Immunizations incomplete",1910147,"NOT APPLIC",920469
NA,"Immunizations incomplete",1910147,"NOT APPLIC",920469
"075","Mononucleosis",1052228,"NOT APPLIC",93868
NA,"Mononucleosis",1052228,"NOT APPLIC",93868
NA,"Diverticulum of bladder",1001934,"NOT APPLIC",6215
"596.3","Diverticulum of bladder",1001934,"NOT APPLIC",6215
NA,"Allergy to seafood",1000854,"NOT APPLIC",15313
"V15.04","Allergy to seafood",1000854,"NOT APPLIC",15313
"335.0","Infantile spinal muscular atrophy, type 1",1340499,"NOT APPLIC",366288
NA,"Rib pain on left side",1368939,"NOT APPLIC",379980
NA,"Infantile spinal muscular atrophy, type 1",1340499,"NOT APPLIC",366288
"786.50","Rib pain on left side",1368939,"NOT APPLIC",379980
NA,"Calculus of ureter",991879,"NOT APPLIC",6174
"592.1","Calculus of ureter",991879,"NOT APPLIC",6174
NA,"Acute kidney failure, unspecified",994279,"NOT APPLIC",6145
"692.9","Contact dermatitis",1043999,"NOT APPLIC",44847
"584.9","Acute kidney failure, unspecified",994279,"NOT APPLIC",6145
